"idavenant"	"codeavenant"	"libelleavenant"			"textemouvement"	
1		"AFN"		"AFFAIRE NOUVELLE"			"AVENANT D'AFFAIRE NOUVELLE"
2		"REN"		"RENOUVELLEMENT"			"AVENANT DE RENOUVELLEMENT"
3		"INC"		"INCORPORATION"				"AVENANT D'INCORPORATION"
4		"MPE"		"MODIFFICATION DE PRISE D'EFFET"	"AVENANT MODIFFICATION DE PRISE D'EFFET"
5		"RPP"		"REPRISE DE PORTEFEUILLE"		"AVENANT DE REPRISE DE PORTEFEUILLE"
6		"ANL"		"ANNULATION"				"AVENANT D'ANNULATION"
7		"ANP"		"ANNULATION PURE"			"AVENANT D'ANNULATION PURE"
8		"RET"		"RETRAIT"				"AVENANT DE RETRAIT"
9		"RES"		"RESILIATION"				"AVENANT DE RESILIATION"
10		"CHI"		"CHANGEMENT D'IMMATRICULATION"		"AVENANT DE CHANGEMENT D'IMMATRICULATION"
11		"MOD"		"MODIFICATION"				"AVENANT DE MODIFICATION"
12		"CHV"		"CHANGEMENT DE VEHICULE"		"AVENANT DE CHANGEMENT DE VEHICULE"
13		"SUS"		"SUSPENSION"				"AVENANT DE SUSPENSION"
14		"REV"		"REMISE EN VIGUEUR"			"AVENANT DE REMISE EN VIGUEUR"
15		"TRP"		"TRANSFERT DE PORTEFEUILLE"		"AVENANT DE TRANSFERT DE PORTEFEUILLE"
16		"PRG"		"PROROGATION"				"AVENANT DE PROROGATION"
